trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1729020,22,2,"Pontiac - Dhu Varren to Pierpont Commons",,1,3702,shp-22-04,1,1
2260020,26,2,"Scio Church to BTC",,0,1802,shp-26-01,1,1
1542020,42,2,"Forest - MacArthur to Ypsilanti Transit Ctr",,0,6602,shp-42-52,1,1
1164020,62,2,"U-M - State St to Wolverine Tower",,0,9602,shp-62-54,1,1
2137020,31,2,"Dexter Ave to Jackson & Wagnor",,1,1602,shp-31-51,1,1
2060020,28,2,"28 Pauline to BTC",,0,2502,shp-28-10,1,1
3013020,44,2,"44 Ecorse Tyler to West Willow",,1,6802,shp-44-02,1,1
3001010,6,1,"Ellsworth to Blake Transit Ctr",,0,701,shp-6-10,1,1
2895020,62,2,"U-M - State St to Wolverine Tower",,0,9402,shp-62-54,1,1
427010,32,1,"Miller - Maple to Pennsylvania & Maple",,1,4501,shp-32-55,1,1
1476020,61,2,"U-M Miller to Central Campus Transit Ctr",,0,9102,shp-61-02,1,1
127070,45,3,"Grove to Harry & Grove",,1,7807,shp-45-03,1,1
572020,22,2,"Pontiac - Dhu Varren to Pierpont Commons",,1,3802,shp-22-04,1,1
1864020,4,2,"Washtenaw to YTC",,1,5002,shp-4-55,1,1
681070,28,3,"28 Pauline to BTC",,0,3407,shp-28-10,1,1
1858070,6,3,"Ellsworth to Blake Transit Ctr",,0,607,shp-6-10,1,1
2287010,3,1," Huron River to YTC",,1,4301,shp-3-53,1,1
485070,26,3,"Scio Church to Scio Ridge",,1,1407,shp-26-02,1,1
1258010,25,1,"Ann Arbor - Saline Rd to Blake Transit Ctr",,0,3301,shp-25-09,1,1
1731020,3,2," Huron River to YTC",,1,7302,shp-3-53,1,1
1598010,4,1,"Washtenaw to BTC",,0,4901,shp-4-06,1,1
1974010,5,1,"Packard to Meijer: Carpenter Rd",,1,8001,shp-5-08,1,1
763020,27,2,"W. Stadium - Oak Valley to Meijer",,1,3002,shp-27-52,1,1
967020,26,2,"Scio Church to Scio Ridge",,1,1802,shp-26-02,1,1
1630020,43,2,"E Michigan Ave to Holmes & Ridge",,1,7502,shp-43-02,1,1
2971070,44,3,"44 Ecorse Tyler to West Willow",,1,6607,shp-44-02,1,1
561020,5,2,"Packard to Ypsilanti Transit Ctr",,1,8402,shp-5-07,1,1
2395020,61,2,"U-M Miller to Miller Rd P+R",,1,9202,shp-61-51,1,1
545070,29,3,"Liberty to Blake Transit Ctr",,0,1507,shp-29-01,1,1
475020,22,2,"Pontiac - Dhu Varren to BTC",,0,4002,shp-22-01,1,1
2894020,22,2,"Pontiac - Dhu Varren to BTC",,0,3502,shp-22-01,1,1
2986010,27,1,"W. Stadium - Oak Valley to Meijer",,1,3401,shp-27-52,1,1
2428010,46,1,"Huron Paint Creek to Huron River + Textile",,1,6601,shp-46-02,1,1
2152020,31,2,"Dexter Ave to Blake Transit Ctr",,0,1602,shp-31-04,1,1
1013070,28,3,"28 Pauline to BTC",,0,3307,shp-28-10,1,1
2737020,61,2,"U-M Miller to Central Campus Transit Ctr",,0,9202,shp-61-02,1,1
1430020,31,2,"Dexter Ave to Jackson & Wagnor",,1,1502,shp-31-51,1,1
2174020,28,2,"Pauline to Maple & Pennsylvania",,1,2502,shp-28-12,1,1
464020,25,2,"Ann Arbor - Saline Rd to Meijer: AA - Saline Rd",,1,3202,shp-25-52,1,1
2882020,43,2,"E Michigan Ave to Ypsilanti Transit Ctr",,0,7602,shp-43-51,1,1
2292070,42,3,"Forest - MacArthur to MacArthur & Harris",,1,6507,shp-42-03,1,1
610020,31,2,"Dexter Ave to Jackson & Wagnor",,1,1502,shp-31-51,1,1
2568020,30,2,"Jackson Rd to BTC",,0,3902,shp-30-51,1,1
2280020,29,2,"Liberty to Blake Transit Ctr",,0,1702,shp-29-01,1,1
2588020,68,2,"Harris -Ford to Gault Village",,1,7502,shp-68-03,1,1
1842010,28,1,"Pauline to Maple & Pennsylvania",,1,3301,shp-28-12,1,1
1644020,62,2,"62 UM State to CCTC",,1,9402,shp-62-06,1,1
1291020,6,2,"Ellsworth to Blake Transit Ctr",,0,1002,shp-6-10,1,1
1654020,42,2,"Forest - MacArthur to Ypsilanti Transit Ctr",,0,6502,shp-42-52,1,1
1589010,25,1,"Ann Arbor - Saline Rd to Meijer: AA - Saline Rd",,1,3401,shp-25-52,1,1
1911070,6,3,"Ellsworth to Blake Transit Ctr",,0,707,shp-6-10,1,1
1415010,5,1,"Packard to Meijer: Carpenter Rd",,1,8101,shp-5-08,1,1
